Model,Site,MAE,RMSE,nRMSE,Sample_Size
XGBoost,Global,0.0763,0.1059,0.1068,26390
XGBoost,Northwester 2,0.0985,0.1282,0.1305,2639
XGBoost,Norther Offshore WP,0.0843,0.1144,0.1179,2639
XGBoost,Mermaid Offshore WP,0.0798,0.1106,0.1124,2639
XGBoost,Seastar Offshore WP,0.0766,0.1027,0.1039,2639
XGBoost,Nobelwind Offshore Windpark,0.0723,0.102,0.1033,2639
XGBoost,Northwind,0.0722,0.1011,0.1025,2639
XGBoost,Thorntonbank NE,0.0702,0.1011,0.1032,2639
XGBoost,Belwind Phase 1,0.0702,0.0991,0.1032,2639
XGBoost,Rentel Offshore WP,0.0696,0.0979,0.0988,2639
XGBoost,Thorntonbank SW,0.0694,0.0977,0.0992,2639
LightGBM,Global,0.0733,0.1025,0.1034,26390
LightGBM,Northwester 2,0.1004,0.1313,0.1336,2639
LightGBM,Norther Offshore WP,0.0788,0.1068,0.1101,2639
LightGBM,Mermaid Offshore WP,0.0773,0.1062,0.1079,2639
LightGBM,Northwind,0.0695,0.0988,0.1002,2639
LightGBM,Nobelwind Offshore Windpark,0.0684,0.0972,0.0984,2639
LightGBM,Seastar Offshore WP,0.0716,0.0969,0.0981,2639
LightGBM,Thorntonbank NE,0.067,0.0967,0.0987,2639
LightGBM,Thorntonbank SW,0.0671,0.0956,0.097,2639
LightGBM,Rentel Offshore WP,0.0668,0.0953,0.0961,2639
LightGBM,Belwind Phase 1,0.0663,0.0946,0.0985,2639
GRU,Global,0.0835,0.1154,0.1165,26270
GRU,Northwester 2,0.1133,0.1502,0.1529,2627
GRU,Mermaid Offshore WP,0.0897,0.1243,0.1263,2627
GRU,Norther Offshore WP,0.086,0.1161,0.1197,2627
GRU,Thorntonbank NE,0.0805,0.1113,0.1136,2627
GRU,Seastar Offshore WP,0.0815,0.1103,0.1116,2627
GRU,Rentel Offshore WP,0.0788,0.1091,0.1101,2627
GRU,Nobelwind Offshore Windpark,0.0769,0.1085,0.1098,2627
GRU,Northwind,0.0758,0.107,0.1085,2627
GRU,Thorntonbank SW,0.0769,0.1057,0.1073,2627
GRU,Belwind Phase 1,0.0753,0.1045,0.1087,2627
WindLSTM,Global,0.0792,0.1089,0.1099,26390
WindLSTM,Northwester 2,0.1092,0.1446,0.1472,2639
WindLSTM,Norther Offshore WP,0.0832,0.1119,0.1153,2639
WindLSTM,Northwind,0.0761,0.1069,0.1084,2639
WindLSTM,Mermaid Offshore WP,0.0819,0.1066,0.1083,2639
WindLSTM,Thorntonbank NE,0.0743,0.1051,0.1073,2639
WindLSTM,Seastar Offshore WP,0.0773,0.104,0.1052,2639
WindLSTM,Nobelwind Offshore Windpark,0.0742,0.1025,0.1037,2639
WindLSTM,Thorntonbank SW,0.0734,0.1023,0.1038,2639
WindLSTM,Rentel Offshore WP,0.0728,0.1018,0.1027,2639
WindLSTM,Belwind Phase 1,0.0699,0.0957,0.0996,2639
WindTransformer,Global,0.0769,0.1073,0.1082,26390
WindTransformer,Northwester 2,0.1028,0.1354,0.1379,2639
WindTransformer,Norther Offshore WP,0.0792,0.1109,0 .1143,2639
WindTransformer,Northwind,0.0752,0.1062,0.1076,2639
WindTransformer,Thorntonbank NE,0.0742,0.1057,0.1079,2639
WindTransformer,Mermaid Offshore WP,0.0776,0.1041,0.1057,2639
WindTransformer,Rentel Offshore WP,0.0736,0.1023,0.1033,2639
WindTransformer,Thorntonbank SW,0.0722,0.1016,0.1031,2639
WindTransformer,Seastar Offshore WP,0.0729,0.1008,0.1021,2639
WindTransformer,Nobelwind Offshore Windpark,0.0706,0.1008,0.1021,2639
WindTransformer,Belwind Phase 1,0.0708,0.1001,0.1042,2639
